Group               ,key                                ,English                                                                                                                                                                                                                                                                       ,Spanish                                                                                                                                                                                                                                                        ,German                                                                                                                                                                                                      ,French                                                                                                                                                                                                                 ,Italian
general             ,add                                ,Add                                                                                                                                                                                                                                                                           ,Añadir                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
general             ,edit                               ,Edit                                                                                                                                                                                                                                                                          ,Editar                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
general             ,delete                             ,Delete                                                                                                                                                                                                                                                                        ,Borrar                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
general             ,discard                            ,Discard                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,requiredField                      ,This field is required.                                                                                                                                                                                                                                                       ,Esta campo es obligatorio.                                                                                                                                                                                                                                     ,Dies ist ein Pflichtfeld.                                                                                                                                                                                   ,Ce champs est obligatoire.                                                                                                                                                                                             ,Questo campo è obbligatorio.
validation          ,invalidField                       ,This field is invalid.                                                                                                                                                                                                                                                        ,This field is invalid.                                                                                                                                                                                                                                         ,This field is invalid.                                                                                                                                                                                      ,This field is invalid.                                                                                                                                                                                                 ,This field is invalid.
validation          ,invalidEmail                       ,This field must be valid email.                                                                                                                                                                                                                                               ,El campo debe ser un correo electrónico válido.                                                                                                                                                                                                                ,Das Feld muss eine gültige E-Mail-Adresse sein.                                                                                                                                                             ,Le champs doit être une adresse email valide                                                                                                                                                                           ,Il campo deve essere un email valido.
validation          ,shortPassword                      ,The password must be at least %s characters long.                                                                                                                                                                                                                             ,La contraseña debe contener %s caracteres como mínimo.                                                                                                                                                                                                         ,Das Passwort muss mindestens %s Zeichen haben.                                                                                                                                                              ,Le mot de passe doit comporter au moins %s lettres.                                                                                                                                                                    ,La password deve contenere almeno %s caratteri.
validation          ,invalidPhone                       ,This field must be valid phone number.                                                                                                                                                                                                                                        ,Este campo deber ser un número de teléfono válido.                                                                                                                                                                                                             ,Bitte geben Sie eine gültige Telefonnummer ein.                                                                                                                                                             ,Ce champs doit contenir un numéro de téléphone valide.                                                                                                                                                                 ,Questo campo deve contenere un numero di telefono valido.
validation          ,maxLength                          ,The field cannot have more than %s characters.                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,numeric                            ,Value must be valid number.                                                                                                                                                                                                                                                   ,Debe ser un valor numérico.                                                                                                                                                                                                                                    ,Bitte geben Sie einen numerischen Wert ein.                                                                                                                                                                 ,Cette valeur doit être numérique.                                                                                                                                                                                      ,Questo valore deve essere numerico.
validation          ,greaterThanZero                    ,Value must be greater than 0.                                                                                                                                                                                                                                                 ,El valor debe ser mayor que 0.                                                                                                                                                                                                                                 ,Der Wert muss größer als 0 sein.                                                                                                                                                                            ,La valeur doit être spérieure à 0.                                                                                                                                                                                     ,
validation          ,nonNegative                        ,Field cannot have a negative value.                                                                                                                                                                                                                                           ,Field cannot have a negative value.                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,numberOfDecimalPlaces              ,Field must have 2 decimal places.                                                                                                                                                                                                                                             ,El campo debe tener 2 decimales.                                                                                                                                                                                                                               ,Das Feld muss 2 Dezimalstellen haben.                                                                                                                                                                       ,Le champs doit contenir deux décimales.                                                                                                                                                                                ,Il campo deve contenere due decimali.
validation          ,integer                            ,Field must be an integer.                                                                                                                                                                                                                                                     ,El campo debe ser un número entero.                                                                                                                                                                                                                            ,Das Feld muss eine ganze Zahl sein.                                                                                                                                                                         ,Le champs doit être un nombre entier.                                                                                                                                                                                  ,Il campo deve essere un numero intero.
validation          ,invalidCountryList                 ,You must select destination countries.                                                                                                                                                                                                                                        ,Debes seleccionar los países de destino.                                                                                                                                                                                                                       ,Bitte wählen Sie die Zielländer aus.                                                                                                                                                                        ,Veuillez sélectionner les pays de destination.                                                                                                                                                                         ,Devi selezionare i paesi di destinazione.
validation          ,invalidLanguage                    ,Field is not a valid language.                                                                                                                                                                                                                                                ,Field is not a valid language.                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,invalidPlatformCountry             ,Field is not a valid platform country.                                                                                                                                                                                                                                        ,Field is not a valid platform country.                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,invalidUrl                         ,Field must be a valid URL.                                                                                                                                                                                                                                                    ,Field must be a valid URL.                                                                                                                                                                                                                                     ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,invalidFieldValue                  ,"Field must be set to ""%s""."                                                                                                                                                                                                                                                ,"Field must be set to ""%s""."                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
validation          ,invalidMaxValue                    ,Maximal allowed value is %s.                                                                                                                                                                                                                                                  ,Maximal allowed value is %s.                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
login               ,apiKey                             ,Api key                                                                                                                                                                                                                                                                       ,Api key                                                                                                                                                                                                                                                        ,API-Schlüssel                                                                                                                                                                                               ,Clé API                                                                                                                                                                                                                ,API Key
login               ,apiKeyIncorrect                    ,API key was incorrect.                                                                                                                                                                                                                                                        ,Clave de API incorrecta                                                                                                                                                                                                                                        ,Falscher API-Schlüssel                                                                                                                                                                                      ,Clé API incorrecte                                                                                                                                                                                                     ,API Key non corretta
